Tanggal,Object_ID,Provinsi,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
2020/03/02 00:00:00+00,1,Aceh,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,1,1
2020/03/09 00:00:00+00,251,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,251,2
2020/03/02 00:00:00+00,2,Bali,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,2,3
2020/03/02 00:00:00+00,3,Banten,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,3,4
2020/03/09 00:00:00+00,252,DKI Jakarta,16,10,0,0,0,0,16,0,0,252,5
2020/03/02 00:00:00+00,4,Kepulauan Bangka Belitung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,4,6
2020/03/09 00:00:00+00,253,Jambi,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,253,7
2020/03/09 00:00:00+00,254,Jawa Barat,2,2,0,0,0,0,2,0,0,254,8
2020/03/02 00:00:00+00,5,Bengkulu,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,5,9
2020/03/09 00:00:00+00,255,Jawa Tengah,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,255,10
2020/03/02 00:00:00+00,6,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,6,11
2020/03/09 00:00:00+00,256,Jawa Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,256,12
2020/03/02 00:00:00+00,7,DKI Jakarta,2,0,0,0,0,0,2,0,0,7,13
2020/03/09 00:00:00+00,257,Kalimantan Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,257,14
2020/03/02 00:00:00+00,8,Jambi,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,8,15
